Sr. No.,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
2105,RMMIL,Resurgere Mines & Minerals Limited,"*Not available for trading as on March 31, 2023"
2106,RUSHABEAR,Rushabh Precision Bearings Limited,"*Not available for trading as on March 31, 2023"
2107,S&SPOWER,S&S Power Switchgears Limited,"*Not available for trading as on March 31, 2023"
2108,SATHAISPAT,Sathavahana Ispat Limited,"*Not available for trading as on March 31, 2023"
2109,SBIHOMEFIN,SBI Home Finance Limited,"*Not available for trading as on March 31, 2023"
2110,SHARONBIO,Sharon Bio-Medicine Limited,"*Not available for trading as on March 31, 2023"
2111,SHIRPUR-G,Shirpur Gold Refinery Limited,"*Not available for trading as on March 31, 2023"
2112,SICAL,Sical Logistics Limited,"*Not available for trading as on March 31, 2023"
2113,SIIL,Supreme (India) Impex Limited,"*Not available for trading as on March 31, 2023"
2114,SKIL,Skil Infrastructure Limited,"*Not available for trading as on March 31, 2023"
2115,SONISOYA,Soni Soya Products Limited,"*Not available for trading as on March 31, 2023"
2116,SPYL,Shekhawati Poly-Yarn Limited,"*Not available for trading as on March 31, 2023"
2117,SREINFRA,SREI Infrastructure Finance Limited,"*Not available for trading as on March 31, 2023"
2118,STAMPEDE,Stampede Capital Limited,"*Not available for trading as on March 31, 2023"
2119,TALWALKARS,Talwalkars Better Value Fitness Limited,"*Not available for trading as on March 31, 2023"
2120,TALWGYM,Talwalkars Healthclubs Limited,"*Not available for trading as on March 31, 2023"
2121,TCIFINANCE,TCI Finance Limited,"*Not available for trading as on March 31, 2023"
2122,TECHNOFAB,Technofab Engineering Limited,"*Not available for trading as on March 31, 2023"
2123,THIRUSUGAR,Thiru Arooran Sugars Limited,"*Not available for trading as on March 31, 2023"
2124,TULSI,Tulsi Extrusions Limited,"*Not available for trading as on March 31, 2023"
2125,UNIPLY,Uniply Industries Limited,"*Not available for trading as on March 31, 2023"
2126,UNITY,Unity Infraprojects Limited,"*Not available for trading as on March 31, 2023"
2127,UNIVAFOODS,Univa Foods Limited,"*Not available for trading as on March 31, 2023"
2128,USK,Udayshivakumar Infra Limited,"*Not available for trading as on March 31, 2023"
2129,VALECHAENG,Valecha Engineering Limited,"*Not available for trading as on March 31, 2023"
2130,VALUEIND,Value Industries Limited,"*Not available for trading as on March 31, 2023"
2131,VICEROY,Viceroy Hotels Limited,"*Not available for trading as on March 31, 2023"
2132,VIDEOIND,Videocon Industries Limited,"*Not available for trading as on March 31, 2023"
2133,VIKASPROP,Vikas Proppant & Granite Limited,"*Not available for trading as on March 31, 2023"
2134,VISUINTL,Visu International Limited,"*Not available for trading as on March 31, 2023"
2135,VIVIMEDLAB,Vivimed Labs Limited,"*Not available for trading as on March 31, 2023"
2136,WINSOME,Winsome Yarns Limited,"*Not available for trading as on March 31, 2023"
2137,ZICOM,Zicom Electronic Security Systems Limited,"*Not available for trading as on March 31, 2023"
,,,
"Note: Kindly refer regulation 15 to 27 of SEBI (Listing Obligation and Disclosure Requirments) Regulations, 2015 for determining the applicability of other provisions of Corporate Governance.

* The list includes companies which are either suspended due to Capital Reduction/ALF/GSM/non-compliance etc.",,,
